	
GO:0000002	mitochondrial genome maintenance
GO:0000003	reproduction
GO:0000009	alpha-1,6-mannosyltransferase activity
GO:0000010	trans-hexaprenyltranstransferase activity
GO:0000012	single strand break repair
GO:0000014	single-stranded DNA specific endodeoxyribonuclease activity
GO:0000015	phosphopyruvate hydratase complex
GO:0000016	lactase activity
GO:0000018	regulation of DNA recombination
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000030	mannosyltransferase activity
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000035	acyl binding
GO:0000036	acyl carrier activity
GO:0000038	very long-chain fatty acid metabolic process
GO:0000041	transition metal ion transport
GO:0000042	protein targeting to Golgi
GO:0000045	autophagic vacuole assembly
GO:0000046	autophagic vacuole fusion
GO:0000049	tRNA binding
GO:0000050	urea cycle
GO:0000052	citrulline metabolic process
GO:0000053	argininosuccinate metabolic process
GO:0000056	ribosomal small subunit export from nucleus
GO:0000059	protein import into nucleus, docking
GO:0000060	protein import into nucleus, translocation
GO:0000062	fatty-acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000066	mitochondrial ornithine transport
GO:0000070	mitotic sister chromatid segregation
GO:0000072	M phase specific microtubule process
GO:0000073	spindle pole body separation
GO:0000075	cell cycle checkpoint
GO:0000076	DNA replication checkpoint
GO:0000077	DNA damage checkpoint
GO:0000079	regulation of cyclin-dependent protein kinase activity
GO:0000080	G1 phase of mitotic cell cycle
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000083	regulation of transcription involved in G1/S phase of mitotic cell cycle
GO:0000084	S phase of mitotic cell cycle
GO:0000085	G2 phase of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000087	M phase of mitotic cell cycle
GO:0000088	mitotic prophase
GO:0000089	mitotic metaphase
GO:0000090	mitotic anaphase
GO:0000093	mitotic telophase
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000103	sulfate assimilation
GO:0000104	succinate dehydrogenase activity
GO:0000105	histidine biosynthetic process
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000114	regulation of transcription involved in G1 phase of mitotic cell cycle
GO:0000115	regulation of transcription involved in S phase of mitotic cell cycle
GO:0000117	regulation of transcription involved in G2/M-phase of mitotic cell cycle
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription factor complex
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000132	establishment of mitotic spindle orientation
GO:0000133	polarisome
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000145	exocyst
GO:0000146	microfilament motor activity
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000154	rRNA modification
GO:0000155	two-component sensor activity
GO:0000156	two-component response regulator activity
GO:0000159	protein phosphatase type 2A complex
GO:0000160	two-component signal transduction system (phosphorelay)
GO:0000164	protein phosphatase type 1 complex
GO:0000165	MAPKKK cascade
GO:0000166	nucleotide binding
GO:0000170	sphingosine hydroxylase activity
GO:0000171	ribonuclease MRP activity
GO:0000172	ribonuclease MRP complex
GO:0000173	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000175	3'-5'-exoribonuclease activity
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	rDNA binding
GO:0000183	chromatin silencing at rDNA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000189	MAPK import into nucleus
GO:0000209	protein polyubiquitination
GO:0000210	NAD+ diphosphatase activity
GO:0000212	meiotic spindle organization
GO:0000213	tRNA-intron endonuclease activity
GO:0000214	tRNA-intron endonuclease complex
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000216	M/G1 transition of mitotic cell cycle
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226	microtubule cytoskeleton organization
GO:0000228	nuclear chromosome
GO:0000235	astral microtubule
GO:0000236	mitotic prometaphase
GO:0000237	leptotene
GO:0000238	zygotene
GO:0000239	pachytene
GO:0000242	pericentriolar material
GO:0000244	assembly of spliceosomal tri-snRNP
GO:0000245	spliceosome assembly
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000255	allantoin metabolic process
GO:0000257	nitrilase activity
GO:0000262	mitochondrial chromosome
